EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,EducationLevel,EducationField,BusinessTravel,DistanceFromHome,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrentManager,TrainingTimesLastYear,StockOptionLevel,OverTime,Salary,MonthlyIncome,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Attrition
1020,48,Female,Married,Operations,Operations Analyst,Bachelor's,Life Sciences,Travel_Frequently,21,0,2,1,1.0,0,6.0,1,No,49013.0,4084.0,1.0,3.0,2,2,1,3,No
1021,35,Female,Single,HR,HR Manager,Master's,Medical,Travel_Rarely,2,4,17,19,1.0,0,6.0,0,Yes,78870.0,6572.0,3.0,4.0,2,3,2,4,No
1022,25,Male,Single,Marketing,Brand Executive,Bachelor's,Medical,Non-Travel,16,0,3,2,2.0,2,6.0,1,No,54686.0,4557.0,3.0,3.0,1,3,3,3,No
1023,51,Male,Single,Engineering,Tech Lead,Bachelor's,Marketing,Travel_Rarely,25,1,2,0,0.0,0,0.0,1,No,66441.0,5536.0,3.0,4.0,1,4,2,3,No
1024,43,Female,Married,Marketing,Content Strategist,Bachelor's,Other,Travel_Rarely,23,5,10,3,0.0,1,1.0,0,No,64093.0,5341.0,1.0,3.0,3,4,3,3,No
1025,43,Female,Married,IT Support,Systems Analyst,Master's,Marketing,Non-Travel,30,2,7,7,,0,4.0,1,No,89095.0,7424.0,3.0,2.0,4,3,4,3,No
1026,24,Female,Single,HR,HR Executive,Bachelor's,Other,Travel_Frequently,20,5,6,9,0.0,1,3.0,1,Yes,58941.0,4911.0,2.0,3.0,2,2,2,2,No
1027,41,Male,Married,Legal,Contracts Manager,Master's,Human Resources,Travel_Rarely,4,7,7,0,0.0,0,6.0,3,Yes,101089.0,8424.0,4.0,2.0,2,1,1,4,No
1028,46,Female,Single,Sales,Sales Manager,PhD,Life Sciences,Travel_Rarely,9,0,17,16,0.0,2,2.0,2,No,109712.0,9142.0,3.0,4.0,4,4,2,4,No
1029,27,Female,Single,Finance,Auditor,Master's,Marketing,Non-Travel,3,1,4,1,1.0,1,,1,No,95709.0,7975.0,3.0,3.0,3,1,2,3,Yes
1030,43,Male,Single,IT Support,Network Engineer,Bachelor's,Technical Degree,Travel_Rarely,4,5,8,3,0.0,0,6.0,1,No,75365.0,6280.0,1.0,4.0,4,1,3,3,No
1031,46,Female,Single,Marketing,Brand Executive,Bachelor's,Technical Degree,Travel_Rarely,6,2,6,3,2.0,3,5.0,0,No,61301.0,5108.0,4.0,2.0,4,2,1,4,No
1032,40,Female,Single,HR,Training Specialist,Bachelor's,Marketing,Travel_Rarely,22,1,13,6,0.0,6,5.0,1,No,72260.0,6021.0,3.0,4.0,3,4,3,4,No
1033,40,Male,Married,Operations,Operations Analyst,Master's,Other,Travel_Frequently,2,1,14,14,0.0,1,1.0,1,Yes,73489.0,6124.0,2.0,1.0,2,2,2,3,Yes
1034,35,Male,Married,Operations,Operations Analyst,Master's,Other,Non-Travel,1,2,3,2,2.0,2,0.0,1,No,65855.0,5487.0,3.0,1.0,1,3,4,3,No
1035,45,Male,Married,Marketing,Marketing Analyst,Master's,Marketing,Travel_Rarely,3,1,6,6,0.0,3,6.0,1,No,81308.0,6775.0,1.0,3.0,4,3,1,3,No
1036,36,Male,Married,IT Support,Network Engineer,Master's,Technical Degree,Travel_Rarely,14,2,8,1,1.0,1,0.0,0,Yes,79236.0,6603.0,3.0,4.0,4,4,3,3,Yes
1037,44,Female,Single,Legal,Contracts Manager,Bachelor's,Technical Degree,Non-Travel,10,0,15,9,0.0,2,1.0,1,Yes,94473.0,7872.0,3.0,3.0,3,3,1,3,No
1038,41,Female,Married,Marketing,Brand Executive,Master's,Technical Degree,Non-Travel,1,4,5,0,0.0,0,3.0,3,No,67271.0,5605.0,2.0,4.0,2,3,3,3,No
1039,27,Male,Single,Operations,Logistics Coordinator,Bachelor's,Marketing,Non-Travel,16,0,7,3,0.0,3,6.0,1,No,57996.0,4833.0,1.0,2.0,2,2,4,3,Yes
1040,32,Male,Single,Engineering,Senior Engineer,Bachelor's,Marketing,Travel_Rarely,6,0,4,2,2.0,2,6.0,2,Yes,90506.0,7542.0,2.0,3.0,1,1,3,4,Yes
1041,30,Female,Single,Sales,Account Manager,Bachelor's,Technical Degree,Non-Travel,5,2,8,2,0.0,0,0.0,0,No,54553.0,4546.0,4.0,1.0,1,4,4,3,No
1042,43,Female,Married,Finance,Financial Analyst,PhD,Life Sciences,Travel_Rarely,11,2,1,0,0.0,0,2.0,1,No,99021.0,8251.0,2.0,,4,4,3,4,Yes
1043,39,Male,Single,Engineering,Senior Engineer,Master's,Marketing,Non-Travel,1,1,10,4,,2,0.0,0,No,96940.0,8078.0,1.0,2.0,1,4,4,4,No
1044,50,Male,Married,Legal,Legal Advisor,Master's,Marketing,Travel_Rarely,5,0,6,0,,0,5.0,2,No,102502.0,8541.0,2.0,3.0,2,1,1,3,No
1045,22,Female,Divorced,Legal,Legal Advisor,Bachelor's,Marketing,Travel_Rarely,19,0,4,0,0.0,0,0.0,0,No,87375.0,7281.0,4.0,4.0,1,1,4,4,No
1046,26,Female,Married,Sales,Account Manager,Bachelor's,Medical,Travel_Rarely,1,0,2,0,0.0,0,2.0,1,No,57199.0,4766.0,3.0,2.0,4,4,1,3,No
1047,34,Female,Married,Operations,Logistics Coordinator,Master's,Marketing,Travel_Rarely,1,4,5,3,3.0,3,6.0,1,No,68985.0,5748.0,4.0,1.0,3,3,3,3,No
1048,36,Female,Married,Legal,Contracts Manager,Associate,Human Resources,Travel_Rarely,1,0,10,7,1.0,7,5.0,1,No,88326.0,7360.0,4.0,1.0,2,3,2,4,Yes
1049,38,Female,Single,Marketing,Marketing Manager,Bachelor's,Life Sciences,Travel_Frequently,2,1,7,0,0.0,0,5.0,0,No,64891.0,5407.0,1.0,4.0,1,2,4,4,No
1050,30,Female,Single,Legal,Compliance Officer,Bachelor's,Medical,Travel_Rarely,14,0,6,5,2.0,5,6.0,0,No,86176.0,7181.0,2.0,1.0,3,4,3,4,No
1051,40,Female,Single,Legal,Compliance Officer,Bachelor's,Technical Degree,Travel_Rarely,7,5,7,7,2.0,0,,1,Yes,76081.0,6340.0,4.0,4.0,3,2,2,3,No
1052,29,Male,Married,Legal,Contracts Manager,Bachelor's,Other,Non-Travel,1,5,6,3,1.0,3,,1,Yes,86647.0,7220.0,3.0,1.0,4,1,4,2,Yes
1053,47,Female,Married,Legal,Legal Executive,Bachelor's,Other,Travel_Frequently,16,1,3,1,0.0,0,,3,No,85601.0,7133.0,4.0,3.0,4,1,1,3,No
1054,36,Male,Married,IT Support,IT Technician,Master's,Other,Travel_Rarely,5,0,18,14,6.0,2,1.0,1,No,99485.0,8290.0,1.0,1.0,3,1,3,3,No
1055,46,Female,Married,HR,HR Manager,Bachelor's,Human Resources,Non-Travel,32,9,12,6,3.0,0,6.0,1,Yes,70466.0,5872.0,2.0,2.0,4,3,4,3,Yes
1056,25,Female,Married,HR,HR Executive,Bachelor's,Marketing,Travel_Rarely,1,3,2,0,0.0,0,3.0,1,Yes,44610.0,3717.0,3.0,4.0,3,2,4,4,Yes
1057,28,Female,Single,Finance,Financial Analyst,PhD,Other,Travel_Rarely,1,1,4,0,0.0,0,2.0,1,Yes,117031.0,9752.0,1.0,4.0,3,2,3,3,No
1058,38,Male,Single,HR,HR Executive,PhD,Other,Travel_Rarely,26,9,8,1,1.0,1,1.0,2,Yes,88207.0,7350.0,3.0,2.0,1,3,3,4,No
1059,30,Female,Divorced,Operations,Supply Chain Executive,Master's,Marketing,Non-Travel,3,1,4,0,0.0,0,5.0,1,Yes,61024.0,5085.0,3.0,1.0,4,1,2,4,No
1060,48,Female,Married,Operations,Operations Manager,Master's,Life Sciences,Travel_Rarely,1,2,2,1,1.0,0,4.0,0,No,55795.0,4649.0,3.0,4.0,3,1,2,3,No
1061,40,Female,Single,Engineering,DevOps Engineer,PhD,Marketing,Non-Travel,5,4,20,14,1.0,0,3.0,1,No,152486.0,12707.0,1.0,3.0,4,1,1,3,No
1062,49,Male,Married,IT Support,Systems Analyst,Master's,Other,Travel_Rarely,44,0,21,17,0.0,6,2.0,0,Yes,101486.0,8457.0,3.0,1.0,3,2,4,3,No
1063,40,Male,Divorced,Operations,Operations Manager,Bachelor's,Medical,Travel_Frequently,10,1,3,3,0.0,1,4.0,0,Yes,61745.0,5145.0,,2.0,1,1,3,3,No
1064,36,Female,Married,Marketing,Marketing Manager,Master's,Medical,Travel_Rarely,5,2,8,6,0.0,6,6.0,0,Yes,93298.0,7774.0,1.0,3.0,2,2,3,4,Yes
1065,28,Male,Single,Marketing,Content Strategist,High School,Marketing,Travel_Rarely,2,1,3,2,0.0,0,4.0,0,Yes,47790.0,3982.0,1.0,1.0,4,4,3,3,Yes
1066,30,Male,Divorced,Finance,Auditor,Master's,Life Sciences,Travel_Frequently,1,6,0,0,0.0,0,1.0,0,No,86122.0,7176.0,4.0,1.0,4,4,1,4,No
1067,42,Female,Married,Operations,Logistics Coordinator,PhD,Human Resources,Travel_Rarely,4,3,9,2,2.0,2,6.0,1,No,77127.0,6427.0,1.0,1.0,2,4,4,4,No
1068,49,Female,Married,Engineering,Tech Lead,Bachelor's,Other,Non-Travel,31,4,8,2,0.0,2,2.0,2,No,83312.0,6942.0,4.0,1.0,1,1,1,3,No
1069,34,Female,Divorced,Operations,Operations Manager,Bachelor's,Other,Travel_Rarely,6,3,2,2,0.0,0,6.0,0,No,55519.0,4626.0,3.0,3.0,3,1,2,3,No
1070,47,Male,Married,Operations,Operations Manager,Master's,Human Resources,Travel_Frequently,2,1,16,10,,8,2.0,0,No,92811.0,7734.0,1.0,3.0,1,2,3,4,Yes
1071,23,Male,Single,HR,Training Specialist,Associate,Other,Travel_Rarely,6,1,5,5,0.0,0,6.0,3,No,41633.0,3469.0,4.0,4.0,4,3,2,3,No
1072,40,Male,Married,Sales,Sales Manager,Bachelor's,Human Resources,Non-Travel,18,1,9,8,,2,2.0,1,No,64864.0,5405.0,4.0,4.0,4,4,3,3,No
1073,41,Male,Single,Legal,Legal Executive,High School,Technical Degree,Travel_Rarely,8,2,7,5,5.0,2,3.0,0,No,75284.0,6273.0,2.0,2.0,3,3,3,3,No
1074,48,Male,Married,Marketing,Content Strategist,Associate,Other,Travel_Rarely,13,1,5,3,3.0,1,,0,No,58971.0,4914.0,1.0,3.0,4,4,4,3,No
1075,44,Male,Married,Legal,Legal Executive,Associate,Life Sciences,Travel_Rarely,1,0,16,13,1.0,5,4.0,1,Yes,95315.0,7942.0,1.0,4.0,3,3,2,3,No
1076,38,Male,Single,Marketing,Content Strategist,Bachelor's,Other,Non-Travel,1,0,5,4,0.0,3,3.0,2,No,60163.0,5013.0,2.0,2.0,2,1,2,4,No
1077,39,Female,Single,Legal,Legal Executive,Master's,Other,Non-Travel,32,2,7,0,0.0,0,3.0,0,No,99151.0,8262.0,4.0,3.0,3,1,3,3,Yes
1078,27,Female,Married,Finance,Financial Analyst,Master's,Life Sciences,Travel_Rarely,1,0,5,1,0.0,0,3.0,0,No,82904.0,6908.0,,4.0,2,3,4,3,No
1079,23,Male,Single,Operations,Operations Manager,Bachelor's,Medical,Travel_Rarely,5,2,5,2,0.0,1,5.0,1,No,49369.0,4114.0,,2.0,3,3,3,3,No
1080,34,Female,Single,Operations,Operations Manager,Bachelor's,Human Resources,Travel_Rarely,14,3,5,3,3.0,0,5.0,0,No,52484.0,4373.0,2.0,3.0,1,2,3,3,No
1081,31,Female,Married,Engineering,Tech Lead,Bachelor's,Other,Travel_Rarely,11,0,7,2,0.0,2,2.0,3,No,85393.0,7116.0,1.0,4.0,3,1,3,3,Yes
1082,30,Male,Married,Marketing,Marketing Manager,Bachelor's,Marketing,Travel_Rarely,6,0,2,0,0.0,0,6.0,1,No,61113.0,5092.0,,3.0,2,4,2,3,No
1083,49,Male,Divorced,Legal,Legal Advisor,Bachelor's,Other,Travel_Rarely,16,0,1,1,1.0,0,5.0,3,Yes,73126.0,6093.0,4.0,2.0,2,3,4,4,No
1084,22,Female,Divorced,Legal,Legal Executive,Master's,Human Resources,Travel_Frequently,14,1,3,3,,2,6.0,1,Yes,95151.0,7929.0,2.0,3.0,1,4,3,3,Yes
1085,36,Male,Married,Engineering,Senior Engineer,Bachelor's,Human Resources,Non-Travel,3,5,10,3,1.0,2,1.0,0,No,86726.0,7227.0,2.0,4.0,3,1,4,2,Yes
1086,28,Female,Married,Marketing,Marketing Analyst,Bachelor's,Life Sciences,Non-Travel,2,0,6,4,0.0,4,0.0,0,No,68816.0,5734.0,3.0,4.0,2,4,4,3,No
1087,31,Female,Single,IT Support,IT Technician,Master's,Medical,Non-Travel,16,0,2,0,,0,5.0,0,No,60062.0,5005.0,4.0,1.0,1,4,1,3,No
1088,30,Male,Married,Operations,Operations Analyst,Bachelor's,Medical,Travel_Rarely,31,5,4,0,0.0,0,0.0,0,Yes,53314.0,4442.0,1.0,4.0,4,1,4,4,Yes
1089,30,Female,Single,Marketing,Marketing Analyst,Master's,Other,Travel_Rarely,5,4,2,0,0.0,0,6.0,3,Yes,73848.0,6154.0,3.0,2.0,4,4,2,4,Yes
1090,42,Female,Divorced,Marketing,Marketing Analyst,Master's,Life Sciences,Travel_Rarely,2,0,2,1,0.0,1,6.0,1,No,73246.0,6103.0,4.0,3.0,1,2,3,3,Yes
1091,22,Female,Divorced,Operations,Logistics Coordinator,Master's,Other,Travel_Rarely,4,1,4,3,3.0,1,0.0,1,No,67858.0,5654.0,2.0,4.0,4,3,3,4,No
1092,43,Female,Married,HR,Recruiter,Bachelor's,Life Sciences,Travel_Rarely,2,2,4,3,3.0,1,2.0,1,No,57708.0,4809.0,4.0,,4,3,4,2,No
1093,40,Female,Married,Sales,Sales Executive,Master's,Technical Degree,Travel_Rarely,12,1,8,2,2.0,0,5.0,0,Yes,82758.0,6896.0,2.0,1.0,2,4,1,3,Yes
1094,48,Female,Married,Sales,Sales Manager,Master's,Marketing,Non-Travel,12,2,14,12,6.0,0,5.0,0,Yes,73284.0,6107.0,2.0,3.0,4,3,3,3,No
1095,34,Female,Single,Engineering,Tech Lead,Master's,Other,Travel_Rarely,2,2,12,7,3.0,5,3.0,3,No,101753.0,8479.0,4.0,2.0,1,2,1,3,No
1096,37,Female,Divorced,Operations,Supply Chain Executive,Master's,Human Resources,Travel_Frequently,5,1,10,10,4.0,1,3.0,0,Yes,82123.0,6843.0,2.0,3.0,2,1,2,4,No
1097,22,Male,Married,Operations,Logistics Coordinator,Master's,Human Resources,Non-Travel,6,0,4,6,1.0,1,2.0,1,Yes,63851.0,5320.0,3.0,4.0,4,4,4,4,No
1098,32,Male,Married,Operations,Operations Analyst,Master's,Human Resources,Non-Travel,3,0,7,1,0.0,1,1.0,0,No,73201.0,6100.0,1.0,1.0,2,3,2,3,No
1099,40,Female,Single,Finance,Financial Analyst,Bachelor's,Other,Travel_Rarely,11,3,9,3,1.0,3,6.0,2,No,89607.0,7467.0,1.0,2.0,2,2,3,4,Yes
1100,47,Male,Married,Finance,Accountant,Master's,Technical Degree,Travel_Rarely,3,4,3,0,0.0,0,0.0,0,Yes,97634.0,8136.0,3.0,3.0,4,2,4,3,No
1101,33,Female,Divorced,Legal,Compliance Officer,Bachelor's,Medical,Travel_Rarely,1,2,11,7,1.0,1,2.0,1,No,96529.0,8044.0,3.0,4.0,2,3,1,3,No
1102,27,Female,Single,Sales,Account Manager,PhD,Human Resources,Travel_Frequently,21,2,4,3,0.0,1,3.0,2,No,72430.0,6035.0,2.0,3.0,3,2,2,3,No
1103,27,Male,Married,Engineering,DevOps Engineer,Bachelor's,Medical,Non-Travel,2,3,9,13,5.0,0,2.0,1,No,77637.0,6469.0,3.0,4.0,4,3,1,4,No
1104,22,Male,Married,Operations,Operations Manager,Bachelor's,Human Resources,Non-Travel,11,0,4,4,1.0,3,6.0,3,No,61971.0,5164.0,4.0,4.0,3,1,2,4,No
1105,52,Female,Married,Operations,Operations Analyst,Bachelor's,Human Resources,Non-Travel,1,0,6,2,0.0,2,2.0,3,No,64584.0,5382.0,2.0,3.0,4,4,2,3,No
1106,48,Female,Married,IT Support,Network Engineer,Bachelor's,Human Resources,Non-Travel,6,2,3,0,0.0,0,5.0,2,No,65686.0,5473.0,1.0,3.0,3,1,4,3,Yes
1107,30,Male,Married,Legal,Legal Executive,PhD,Human Resources,Travel_Rarely,4,4,4,1,1.0,1,1.0,0,No,95325.0,7943.0,2.0,4.0,2,2,1,3,Yes
1108,34,Female,Divorced,HR,Training Specialist,Master's,Technical Degree,Travel_Rarely,2,1,16,11,,4,1.0,1,No,79484.0,6623.0,1.0,2.0,2,3,4,3,No
1109,33,Male,Single,Operations,Supply Chain Executive,Master's,Medical,Non-Travel,2,0,8,3,0.0,1,6.0,1,No,78058.0,6504.0,3.0,3.0,2,4,3,3,No
1110,33,Female,Single,IT Support,Support Specialist,Master's,Medical,Travel_Frequently,4,0,1,1,0.0,1,2.0,3,No,60519.0,5043.0,1.0,,4,3,4,3,No
1111,36,Male,Single,HR,HR Executive,Master's,Human Resources,Travel_Rarely,3,1,8,4,1.0,1,5.0,2,No,75336.0,6278.0,2.0,,1,1,4,3,Yes
1112,37,Female,Married,HR,Training Specialist,Master's,Technical Degree,Travel_Rarely,13,1,8,4,1.0,2,5.0,1,Yes,60114.0,5009.0,3.0,3.0,3,1,1,3,No
1113,22,Male,Divorced,HR,Training Specialist,Master's,Medical,Travel_Rarely,1,3,4,2,2.0,0,2.0,0,No,60211.0,5017.0,4.0,2.0,3,1,1,3,No
1114,45,Female,Single,Legal,Compliance Officer,Master's,Technical Degree,Non-Travel,1,3,3,1,1.0,1,4.0,1,No,77442.0,6453.0,2.0,4.0,3,2,1,4,Yes
1115,35,Female,Married,IT Support,Support Specialist,Bachelor's,Life Sciences,Non-Travel,3,2,8,1,0.0,1,6.0,0,Yes,67881.0,5656.0,2.0,4.0,3,2,1,3,Yes
1116,36,Male,Single,Sales,Account Manager,Master's,Other,Non-Travel,11,4,12,9,0.0,0,2.0,1,No,74869.0,6239.0,3.0,2.0,4,3,1,3,Yes
1117,32,Female,Married,HR,Training Specialist,Bachelor's,Other,Travel_Rarely,9,3,8,4,1.0,1,4.0,0,No,50462.0,4205.0,4.0,2.0,2,1,4,3,No
1118,46,Female,Single,Marketing,Marketing Manager,Bachelor's,Human Resources,Non-Travel,20,4,15,8,0.0,2,4.0,0,No,77870.0,6489.0,4.0,1.0,4,1,4,3,No
1119,24,Male,Married,Finance,Financial Analyst,Bachelor's,Life Sciences,Non-Travel,13,1,6,2,0.0,2,6.0,0,No,74568.0,6214.0,3.0,1.0,1,1,4,2,No
1120,28,Female,Divorced,IT Support,Network Engineer,PhD,Technical Degree,Travel_Frequently,18,1,10,8,6.0,4,4.0,0,No,85858.0,7154.0,4.0,1.0,2,3,1,3,No
1121,37,Female,Married,Sales,Sales Executive,PhD,Technical Degree,Travel_Frequently,4,0,4,2,1.0,2,6.0,0,No,84857.0,7071.0,,4.0,3,2,3,3,No
1122,37,Male,Married,IT Support,IT Technician,Bachelor's,Life Sciences,Travel_Rarely,2,0,9,4,4.0,2,6.0,2,Yes,60738.0,5061.0,1.0,2.0,1,4,4,3,Yes
1123,22,Female,Married,Finance,Accountant,Master's,Other,Travel_Rarely,1,0,3,3,1.0,3,,3,Yes,77366.0,6447.0,3.0,2.0,3,2,2,3,No
1124,40,Female,Divorced,HR,Training Specialist,Bachelor's,Life Sciences,Travel_Rarely,1,6,3,1,1.0,1,3.0,0,No,54154.0,4512.0,3.0,4.0,4,2,3,3,Yes
1125,22,Female,Divorced,HR,Training Specialist,PhD,Human Resources,Travel_Rarely,1,3,4,3,0.0,3,3.0,2,Yes,66920.0,5576.0,2.0,4.0,2,3,2,3,Yes
1126,24,Male,Divorced,Marketing,Marketing Analyst,Bachelor's,Other,Non-Travel,3,2,2,0,0.0,0,1.0,3,Yes,64901.0,5408.0,2.0,4.0,2,3,3,4,Yes
1127,54,Male,Married,Legal,Compliance Officer,Master's,Other,Non-Travel,1,4,16,12,1.0,0,3.0,1,No,119005.0,9917.0,3.0,3.0,4,4,3,3,No
1128,33,Female,Married,Legal,Legal Executive,PhD,Marketing,Travel_Rarely,1,0,10,8,1.0,1,1.0,0,Yes,132456.0,11038.0,2.0,2.0,1,3,4,3,No
1129,35,Female,Married,Legal,Legal Executive,Bachelor's,Technical Degree,Travel_Rarely,1,8,6,5,1.0,0,5.0,3,No,70303.0,5858.0,3.0,2.0,2,4,2,4,No
1130,51,Male,Married,Engineering,Software Engineer,Master's,Technical Degree,Non-Travel,1,7,3,0,0.0,0,4.0,3,No,104508.0,8709.0,2.0,1.0,2,4,3,3,No
1131,24,Male,Single,Sales,Sales Executive,Bachelor's,Technical Degree,Travel_Rarely,11,2,6,3,3.0,3,1.0,0,No,64447.0,5370.0,3.0,1.0,4,2,1,4,No
1132,33,Female,Divorced,Operations,Supply Chain Executive,Master's,Life Sciences,Travel_Rarely,25,0,15,17,1.0,0,4.0,1,No,94569.0,7880.0,2.0,2.0,3,1,1,3,No
1133,39,Female,Married,HR,HR Executive,Bachelor's,Technical Degree,Travel_Frequently,11,0,4,0,0.0,0,5.0,3,No,46789.0,3899.0,1.0,1.0,2,2,4,3,No
1134,37,Male,Divorced,Sales,Sales Manager,PhD,Marketing,Travel_Rarely,16,0,2,0,0.0,0,5.0,2,No,84742.0,7061.0,4.0,1.0,3,2,2,3,No
1135,23,Male,Single,HR,HR Executive,Bachelor's,Marketing,Non-Travel,4,2,1,0,0.0,0,3.0,1,No,48329.0,4027.0,1.0,3.0,4,3,1,3,Yes
1136,40,Female,Single,IT Support,Support Specialist,Bachelor's,Human Resources,Travel_Rarely,19,2,10,7,3.0,1,1.0,1,No,71346.0,5945.0,2.0,1.0,1,3,2,3,No
1137,36,Female,Married,Engineering,Software Engineer,High School,Marketing,Non-Travel,1,0,14,12,0.0,0,0.0,0,No,67325.0,5610.0,2.0,1.0,2,4,4,3,No
1138,45,Female,Married,Engineering,Tech Lead,Master's,Life Sciences,Travel_Rarely,4,1,9,2,2.0,2,1.0,0,Yes,114358.0,9529.0,2.0,2.0,4,2,2,3,No
1139,28,Female,Single,IT Support,Network Engineer,Bachelor's,Life Sciences,Non-Travel,8,0,5,0,0.0,0,2.0,2,No,65876.0,5489.0,4.0,2.0,4,1,2,3,Yes
1140,43,Male,Single,Operations,Logistics Coordinator,Bachelor's,Other,Travel_Rarely,2,7,16,10,1.0,1,5.0,1,No,73772.0,6147.0,2.0,4.0,3,2,4,4,No
1141,44,Female,Single,Marketing,Content Strategist,Bachelor's,Technical Degree,Travel_Rarely,1,1,15,13,5.0,13,0.0,2,No,85572.0,7131.0,2.0,1.0,4,2,4,4,No
1142,34,Male,Single,IT Support,Support Specialist,Associate,Marketing,Non-Travel,1,0,13,8,2.0,2,6.0,1,No,60288.0,5024.0,4.0,4.0,1,4,4,3,No
1143,40,Female,Single,Operations,Operations Manager,Associate,Medical,Travel_Rarely,8,1,5,1,1.0,0,5.0,1,Yes,50902.0,4241.0,4.0,3.0,4,1,1,3,Yes
1144,30,Male,Single,Marketing,Brand Executive,Bachelor's,Technical Degree,Non-Travel,15,0,3,1,1.0,1,,0,No,55876.0,4656.0,,3.0,4,1,1,4,Yes
1145,37,Female,Married,Marketing,Brand Executive,Bachelor's,Life Sciences,Travel_Rarely,2,1,9,4,4.0,1,5.0,2,No,68730.0,5727.0,1.0,3.0,1,1,1,4,No
1146,22,Female,Divorced,Marketing,Marketing Manager,Bachelor's,Marketing,Non-Travel,7,0,1,0,0.0,0,1.0,1,No,62218.0,5184.0,4.0,2.0,2,4,4,2,No
